en,fr,de,vi
carburetted water gas set,ligne de gaz à l'eau carburé,Anlage für karburiertes Wassergas,
carburizing,cémentation,Einsatzhärten,
carcinotron,carcinotron,Rückwärtswellenröhre,
card bus,bus carte,Plattenbus,
card cage,porte-carte,Platinengehäuse,
card field,zone de carte,Lochkartenfeld,
card pitch,pas,Schreibdichte einer Karte,
card-bus,bus-carte,Buskarte,
card-bus,bus-carte,Platten-Bus,
cardan drive,transmission à cardans,Kardantrieb,
cardioid microphone,microphone à diagramme de directivité cardioïde,Nierenmikrofon,
Carnot efficiency,rendement du cycle de Carnot,Carnot-Wirkungsgrad,
carpet beating device,batteur de tapis,Teppichklopfer,
carpet test,essai sur tapis,Teppichbodenprüfung,
carpet vacuum cleaner,aspirateur pour tapis,Teppichstaubsauger,
carried payload,charge utile transportée,beförderte Nutzlast,
carrier,courant porteur,Träger,
carrier,onde porteuse,Trägerwelle,
carrier beat interference,brouillage par battement de l'onde porteuse,Rauscheinfluss auf den Frequenzhieb,
carrier current,courant porteur,Trägerstrom,
carrier current protection,protection par courant porteur,Streckenschutz mit Traegerfrequenzverbindung,
carrier current system of transmission,système de transmission à courant porteur,Trägersystem,
carrier cycle,cycle de porteuse,Schwingungsperiode des Trägers,
carrier depletion,déplétion en porteurs,Mangelelektronenleitung,
carrier deviation,excursion de porteuse,Trägerfrequenz,
carrier diffusion length,longueur de diffusion des porteurs,Diffusionslaenge der Ladungstraeger,
carrier diffusion length,longueur de diffusion des porteurs,Diffusionslänge der Ladungsträger,
carrier energy dispersal technique,technique de dispersion de l'énergie des porteuses,Trägerenergieverwischungstechnik,
carrier filter,filtre de porteuse,Trägerfilter,
carrier frame,trame de la porteuse,Frequenzbereich,
carrier frequency,fréquence porteuse,Trägerfrequenz,
carrier frequency offset,décalage des fréquences porteuses,Verschiebung der Trägerfrequenz,
carrier frequency transmission,transmission à fréquence porteuse,Traegerfrequenz-Uebertragung,
carrier frequency transmission over high-voltage lines,transmission à fréquence porteuse sur des lignes à haute tension,Traegerfrequenz-Uebertragung auf Hochspannungs-Leitungen,
carrier gas,gaz vecteur,Trägergas,
carrier generator,producteur de porteurs,Trägergenerator,
carrier identification,identification de porteuse,Verbindungsnetzbetreiberkennzahl,
carrier identification code,code d'identification de porteuse,Verbindungsnetzbetreiberkennzahl,
carrier index,liste des codes d'opérateurs,Netzbetreiberindex,
carrier input level,niveau d'entrée de l'onde porteuse,Eingangspegel der Trägerfrequenz,
carrier laser beam,faisceau laser porteur,Träger-Laserstrahl,
carrier leak,résidu de porteuse,Trägerrest,
carrier link,liaison à courants porteurs,TF-Verbindung,
carrier modulation,modulation de l'onde porteuse,Trägermodulation,
carrier multiplication,multiplication des porteurs,Trägermultiplizierung,
carrier noise degradation,dégradation du rapport porteuse/bruit,Güteverminderung durch Trägerrauschen,
carrier offset,décalage de porteuse,offsetbetrieb,
carrier operated anti noise device,dispositif de suppression du bruit actionné par la porteuse,über die Trägerfrequenz koordinierte Störminderung,
carrier override,changement d'opérateur,Vorauswahl für Netzbetreiber,
carrier phase angle,angle de phase de la porteuse,Trägerphasenwinkel,
carrier power of a radio transmitter,puissance en porteuse,Trägerleistung einer Funkstelle,
carrier re-inserted in the receiver,porteuse réinjectée dans le récepteur,Rückgewinnung des Trägers im Empfänger,
carrier re-insertion,réinsertion de porteuse,Trägerzusatz,
carrier recovery circuit,circuit de rétablissement de la porteuse,Trägerrückgewinnungsschaltung,
carrier reduction,réduction de porteuse,Trägerreduktion,
carrier regeneration,régénération de porteuse,Trägerregeneration,
carrier rejection filter,filtre de suppression de porteuse,Träger-Sperrfilter,
carrier sensitivity,vulnérabilité des ondes porteuses,Störempfindlichkeit eines Trägers,
carrier separation,écart entre les porteuses,Trägertrennung,
carrier signal,signal de porteuse,Trägersignal,
carrier source,générateur de porteuse,abgestrahlte Trägerleistung,
carrier source stability,stabilité de générateur de porteuse,Stabilität der abgestrahlten Trägerleistung,
carrier storage time,retard à la décroissance,Speicherzeit,
carrier supply,générateur de porteuses,Trägerversorgung,
carrier suppression,suppression de l'onde porteuse,Trägerunterdrückung,
carrier wave,porteuse,Trägerwelle,
carrier wave,porteuse,Trägerwelle,
carrier wave equipment,installation radio,Traegerfrequenzanlage,
carrier wire,fil porteur,Tragfaden,
carrier-cable crossing,traversée par cables porteurs,Tragseilüberspannung,
carrier-current transmission,liaison par courant porteur,Trägerfrequenzverbindung,
carrier-frequency beat,battement des porteuses,Trägerschwebung,
carrier-frequency detector,détecteur de fréquences porteuses,Trägerfrequenzdetektor,
carrier-to-intermodulation-noise density ratio,rapport porteuse/densité de bruit d'intermodulation,Träger-Intermodulationsrauschdichte-Verhältnis,
carrier-to-noise density ratio,rapport porteuse/densité de bruit,Träger-Rauschdichte-Verhältnis,
carrier-to-noise temperature ratio,rapport porteuse/température de bruit,Träger-zu-Rauschtemperatur-Verhältnis,
carrier-to-receiver-thermal-noise ratio,rapport porteuse/bruit thermique du récepteur,Träger-Rausch-Verhältnis des Empfängers,
carrier-to-spectral noise density ratio,"rapport ""porteuse à densité spectrale de bruit""",Verhältnis von Träger zu Rauschleistungsdichte,
carrier-to-system thermal noise ratio,rapport provenance utile/bruit thermique du système,Träger(Rausch-Verhältnis),
carrier-to-thermal noise ratio,rapport porteuse/bruit thermique,TrägerRausch-Verhältnis,
carrier-wave voltage,tension de la porteuse,"Trägerwellenspannung,f.",
carry,retenue,Übertrag,
carry electrode,électrode de liaison,Übergabeelektrode,
carry look-ahead,anticipation de retenue,Carry Look-Ahead,
carry look-ahead generator,générateur de retenue anticipée,Parallelübertrags-Generator,
carry storage element,élément de mémorisation de la retenue,Übertragspeicher,
carry-in bit,entrée de l'information de la retenue,Eintragbit,
carry-in terminal,borne d'entrée de la retenue,Übertragseingang,
carry-out bit,sortie de l'information de la retenue,Austragbit,
carry-out terminal,borne de sortie de la retenue,Übertragsausgang,
Carson's rule bandwidth,largeur de bande selon la règle de Carson,Bandbreite nach der Carsonschen Regel,
cartel in semiconductors,cartel des semi-conducteurs,Halbleiterkartell,
cartridge,tête de lecture,Tonabnehmer,
cartridge fuse,fusible à cartouche,Patronensicherung,
cartridge type bearing,boîte-palier à roulement,Walzlagerkopf,
cartridge type fuse,coupe-circuit à cartouche,Patronenschmelzsicherung,
cascade,cascade,Kaskade,
cascade,cascade,Reihenschaltung,
cascade amplifier,amplificateur en cascade,Kaskadenverstärker,
cascade connection,connexion en cascade,Kaskadenschaltung,
cascade connection,montage en cascade,Kaskadenschaltung,
cascade control,régulation en cascade,Kaskadenregelung,
cascade control,régulation par couplage en cas cade,Regelung durch Kaskadenschaltung,
cascade heat pump system,systeme de pompes à chaleur en cascades,Wärmepumpenkaskade,
cascade noise figure,figure de bruit en cascade,Kaskaden-Rauschzahl,
cascade refrigeration process,refrigération en cascade,Kaskadenkühlung,
cascaded circuits,circuits en cascade,Leitungen in Kaskadenanordnung,
cascaded inputs,entrées en cascade,kaskadierte Eingänge,
cascaded transistor amplifier,amplificateur à transistor en cascade,Transistorverstärker in Kaskadenschaltung,
cascode amplifier,amplificateur cascode,Kaskode-Verstärker,
case,bac multiple,Blockkasten,
case,capot,Gehäuse,
case for metrix instrument,gaine pour métrix,Tragetasche für Metrix-Instrument,
case ground,masse du boîtier,Gehäusemasse,
case-rated device,élément caractérisé pour une température de boîtier,gehäusebezogenes Bauelement,
casing,tubage,Verrohrung,
casing resistant to battery gas,boîtier résistant aux gaz de batterie,gegen Batteriegase widerstandsfähiges Gehaüse,
casing resistant to dilute bases,boîtier résistant aux bases diluées,gegen verdünnte Laugen widerstandsfähiges Gehaüse,
Cassegrain fed antenna,antenne à alimentation Cassegrain,Antenne mit Cassegrain Stromversorgung,
Cassegrain horn,cornet Cassegrain,Cassegrainhorn,
Cassegrainian antenna,antenne de type Cassegrain,Cassegrain-Antenne,
casshorn,cornet d'une alimentation Cassegrain,Horn einer Cassegrain Stromversorgung,
catalyst de-activation,vieillissement,Katalysatordesaktivierung,
catalyst suspended within an oil phase,catalyseur en suspension dans l'huile,in Öl suspendierter Katalysator,
catalytic,catalytique,katalytisch,
catalytic combustion,combustion catalytique,katalytische Verbrennung,
catalytic device,installation de catalyse,katalytische Anordnung,
catalytic space heater,radiateur à combustion catalytique,Katalytstrahler,
catastrophic failure,défaut catastrophique,Ausfall,
catastrophic outage,indisponibilité catastrophique,Vollausfall,
catch on petrol nozzle,cran d'arrêt du pistolet de distribution,Feststellrast an dem Zapfventil,
catchment area of a hydro-installation,bassin versant d'un ouvrage hydro-électrique,Einzugsgebiet einer Wasserkraftanlage,
catenary curve,chainette,Kettenlinie,
catenary inspection vehicle,véhicule d'observation des caténaires,Fahrleitungsuntersuchungswagen,
catenary lighting,éclairage caténaire,an Trag-und Stabilisierungsseil befestigter Beleuchtungskoerper,
catenary suspension,suspension caténaire,Kettenaufhängung,
catering tariff,tarif cuisine,Preisregelung für Sonderzwecke,
cathode,cathode,Katode,
cathode current,courant cathodique,Kathodenstrom,
cathode current,courant cathodique,Kathodenstrom,
cathode diameter,diamètre de la cathode,Kathodendurchmesser,
cathode follower,montage à charge de cathode,Katodenfolger,
cathode heating rate,rapidité d'échauffement de la cathode,Kathodenanheizzeit,
cathode interface layer,couche d'interface de cathode,Zwischenschicht,
cathode layer,couche cathodique,kathodische Schicht,
cathode preheating time,durée de préchauffage de la cathode,Vorheizzeit,
cathode ray,rayon cathodique,Kathodenstrahl,
cathode ray screen,écran cathodique,Sichtgerät,
cathode ray tube,tube à rayons cathodiques,Kathodenstrahlröhre,
cathode resistor,résistance de cathode,Kathodenwiderstand,
cathode sputtering,pulvérisation de la cathode,Kathodenzerstäubung,
cathode switch,interrupteur cathodique,Kathodenfallableiter,
cathode terminal,borne de cathode,Kathodenanschluss,
cathode tip angle,angle de pointe de la cathode,Kathodenspitzenwinkel,
cathode warm-up time,durée de chauffage de la cathode,Vorheizzeit,
cathode-follower circuit,montage à cathode asservie,Kathodenverstärker,
cathode-ray charge-storage tube,tube à rayons cathodiques à mémoire électrostatique,Ladungsspeicherröhre mit Schreibstrahl,
cathode-ray direction finder,radiogoniomètre à tube cathodique,Sichtpeiler,
cathode-ray oscilloscope,oscilloscope à rayons cathodiques,Kathodenstrahloszillograf,
cathode-ray storage tube,tube à rayons cathodiques à mémoire,Speicherröhre mit Schreibstrahl,
cathode-ray tube display,indicateur cathodique,Kathodenstrahl-Schirmbilddarstellung,
cathode-ray tube using shadow mask,tube cathodique à masque perforé,Lochmasken-Farbkathodenstrahlroehre,
cathodic arc deposition,dépôt par arc cathodique,Kathodenzerstäubung durch Bogenentladung,
cathodic atomization coating ion sputtering,revêtement par projection cathodique,Kathodenzerstaeubung ( zur Herstellung von Metallueberzuegen ),
cathodic corrosion,corrosion cathodique,kathodische Korrosion,
cathodic pickling,décapage cathodique,kathodisches Beizen,
cathodic polarization,polarisation cathodique,Kathodenpolarisation,
cathodic protection,protection cathodique,kathodischer Schutz,
cathodic protection current,courant de protection cathodique,kathodischer Schutzstrom,
cathodic protection station,poste de protection cathodique,kathodische Schutzanlage,
cathodic pulverisation,pulvérisation électrique,elektrische Zerstäubung,
cathodic reduction of nitric to nitrous acid,la réduction cathodique de l'acide nitrique à l'état d'acide nitreux,kathodische Reduktion von Salpetersaeure zu salpetriger Saeure,
catholuminescence,luminescence cathodique,Katholumineszenz,
catholyte,catholyte,Katholyt,
catholyte,catholyte,Katholyt,
caustic soda cell,pile à la soude,Alkalielement,
cavitation,cavitation,Kavitation,
cavity aperture,ouverture de réception,Strahleneintrittsapertur,
cavity cathode,cathode à cavité,Resonatorkathode,
cavity klystron,klystron à cavité,Zweikammer-Klystron,
cavity package,boîtier à cavité,Hohlkasten,
cavity resonator,cavité résonnante,Hohlraumresonator,
cavity treatment,traitement en cavité,Hohlraumbehandlung,
cavity wavemeter,ondemètre à cavité,Hohlraum-Wellen-Messer,
cavity-backed slot-dipole antenna,antenne à doublet à fente et cavité,Schlitzantenne mit angebautem Hohlraum,
CB transistor,transistor en base commune,Transistor in Basisschaltung,
CBASIC,CBASIC,CBASIC,
CC transistor,transistor en collecteur commun,Transistor in Kollektorschaltung,
CCD transducer,transducteur CCD,CCD Transducer,
CCIR reference pattern,diagramme de référence du CCIR,CCIR Referenzmuster,
CD transistor,transistor à effet de champ en drain commun,Feldeffekttransistor in Drainschaltung,
CE transistor,transistor en émetteur commun,Transistor in Emitterschaltung,
ceiling panel heating,chauffage par plafond,Deckenheizung,
ceiling voltage,tension de plafond,Deckenspannung,
cell,élément,Element,
cell area,surface de la cellule,Elementfläche,
cell boundary,frontière d'une cellule,Zellgrenze,
cell configuration,configuration de la cellule,Elementanordnung,
cell connector,connexion,Steg,
cell constant,constante d'une cellule électrolytique,Elektrolysezellen-Konstante,
cell library,bibliothèque de cellules,Zellbibliothek,
cell performance,performance de cellule,Zellenleistung,
cell performance,performance de cellule,Zellenleistung,
cell reaction,réaction en cellule,Zellreaktion,
cell site controller,processeur de contrôle des cellules,Zellensteuereinheit,
cell switch,commutation de cellule,Zellvermittlung,
cell voltage,tension d'un élément,Zellenspannung,
cell voltage,tension de la cellule,Zellenspannung,
cell-connector,barrette de connexion,Zellenverbinder,
cellular array,réseau cellulaire,Schaltelementmatrix,
cellular insulant,isolant cellulaire,Isolierschaumstoff,
cellulose hydrolysis,hydrolyse de la cellulose,Zelluloseabbau,
cementation,cémentation,Zementieren,
cementing,cimentation des tubages,Zementierung,
center phase conductor,phase du milieu,Mittelstrang,
center-to-center spacing,pas nominal entre centres,Mitte-Mitte-Abstand,
centering system,système de centrage,Zentriervorrichtung,
centerwire break,rupture médiane,Drahtmittebruch,
central,centré,zentrisch,
central angular zone,zone angulaire centrale,zentrale Winkelzone,
central axis of the tape,axe longitudinal de la bande magnétique,Längsachse des Magnetbandes,
central control position,poste central de commande,zentraler Bedienungsplatz,
central cut-off distortion,"distorsion ""à coupure centrale""",zentrale Distorsionsabschaltung,
central distributor,notificateur central,zentraler Verteiler,
central frequency standard,étalon de fréquence central,zentrales Frequenz-Normal,
central heating,chauffage central d'immeuble,Hauszentralheizung,
central heating by instantaneous water heaters,chauffage central par appareils instantanés de production d',Umlaufgaswasserheizung,
central ignition,allumage central,Zentralzündung,
central locking and alarm system,système de verrouillage central et d'alarme,zentrale Verriegelungs-und Alarmvorrichtung,
central locking switch,commutateur de verrouillage central,Hauptverriegelungsschalter,
central member,élément central,Zentralelement,
central receiver,collecteur central,zentraler Strahlungsempfänger,
central spark plug electrode,électrode centrale,Zündstift,
central switch unit,coeur de chaîne,Basiseinheit,
central vacuum cleaner,centrale d'aspiration,Zentralstaubsauger,
centralized accumulator topping up,remplissage centralisé des accumulateurs,zentrales Füllen der Akkumulatoren,
centralized cabling,câblage centralisé,zentralisierte Verkabelung,
centralized control,commande centralisée,zentrale Steuerung,
centralized control signaling,signalisation de commande centralisée,zentralisierte Steuerungssignalisierung,
centralized inter-exchange signaling,signalisation centralisée entre centraux,zentraler Signalaustausch,
centralized system,système à commande centralisée,zentrales Steuerungssystem,
centralized telecontrol,télécommande centralisée de charges,zentrale Laststeuerung,
centralized traffic control,télécommande d'une ligne,Fernsteuerung einer Strecke,
centralograph,centralographe,Zentralograph,
centre channel,voie principale,Mittelkanal,
centre conductor rail,rail central de contact,Mittelstromschiene,
centre guard band,bande de garde centrale,Mittellücke,
centre line,ligne équidistante,Mittellinie,
centre line flashing light,feu axial à éclats,Mittellinien-Anflug-Blitzfeuer,
centre of radiation of an antenna,centre de rayonnement d'une antenne,Strahlungszentrum einer Antenne,
centre of reference,centre de référence,Bezugspunkt,
centre operating frequency,fréquence de fonctionnement centrale,nominale Betriebsfrequenz,
centre shield,écran central,Mittelabschirmung,
centre tap,prise médiane,Mittelabzapfung,
centre terminal,borne centrale,Mittelanschluß,
centre valve,distributeur pour épurateurs,Mehrwegventil,
centre zero relay,relais commutateur,Wechselrelais,
centre-zone profile,profil de la zone centrale,Temperaturverlauf der Zentralzone,
centred carrier,porteuse centrée,zentrierter Träger,
centrifugal compressor,compresseur radial,Radialverdichter,
centrifugal fan,ventilateur centrifuge,Zentrifugalventilator,
centrifugal furnace,four centrifuge,Schmelzzentrifuge,
centrifugal furnace,four centrifuge,Schmelzzentrifuge,
centrifugal potential,potential centrifuge,Zentrifugalpotential,
centrifugal relay,relais à force centrifuge,Zentrifugalrelais,
centrifugal rheostat,rhéostat centrifuge,Zentrifugal-Stallwiderstand,
centrifugal switch,contacteur centrifuge,Fliehkraftschalter,
centrifugal weight,masselotte,Fliehgewicht,
centrifuge,centrifugeuse,Zentrifuge,
centring actuator,vérin d'orientation,Stellzylinder,
centring square,équerre à centrer,Zentrierquadrat,
ceramic,en céramique,keramisch,
ceramic capacitor,condensateur à diélectrique céramique,keramischer Kondensator,
ceramic disc capacitor,condensateur céramique disque,keramischer Scheibenkondensator,
ceramic electric insulator,isolant électrique en céramique,keramischer Elektroisolator,
ceramic pick-up head,tête de lecture céramique,keramischer Abtaster,
ceramic plate capacitor,condensateur céramique plaquette,keramischer Plattenkondensator,
ceramic printed circuit,circuit imprimé céramique,Keramik-bedruckter Schaltkreis,
ceramic substrate,support en céramique,Keramikträger,
ceramics,céramique,keramische Technik,
cermet,matériau céramique-métal,metallkeramischer Werkstoff,
cermet thin film,couche mince en matériau céramique-métal,Cermet-Dünnschicht,
certification as chief engineer officer,brevet de chef mécanicien,Befähigungszeugnis als Leiter der Maschinenanlage,
certification as second engineer officer,brevet de second mécanicien,Befähigungszeugnis als Zweiter technischer Offizier,
certification of the designation of origin,certification d'indication de provenance,Bescheinigung der Herkunftsbezeichnigung,
cesium electron tube,tube à jet de césium,Caesiumstrahlröhre,
CG transistor,transistor à électrode de champ en commun,Feldeffekttransistor in Gateschaltung,
chain conveyor feed,système d'avancement avec chaîne à ergots,Kettenförderer,
chain suspension insulator,isolateur à chaîne,Kettenisolator,
chain vice,étau à chaîne,Rohrspanner,
chain-code generator,générateur de code en chaîne,Folgeadressengenerator,
chain-grate stoker,chargeur à chaîne,Kettenrost,
chaining,enchainement de programmes,Verkettung,
chances causes,causes aléatoires,zufällige Ursachen,
chandelier,lustre,Luester,
change of measuring range,commutation du domaine de mesure,Messbereich-Umschaltung,
change-over contact,contact à deux directions,Wechsler,
change-over contact unit,dispositif de contact à permutation,Wechselkontakt,
change-over contact with neutral position,contact à deux directions avec position neutre,Wechsler mit mittlerer Ruhestellung,
change-over make before break contact,contact à effet de pont,Wechsler ohne Unterbrechung,
change-over selector,présélecteur,Vorwähler,
change-over switch,commutateur,Umschalter,
change-over switching,commutation,Umschalten,
change-over time,temps de virement,Betätigungszeit,
changeback,retour sur la liaison normale,Rückumschaltung,
changed by 180 degree in phase,déphasé de 180 degrés,phasenverschoben um 180 Grad,
changeover,passage sur canal sémaphore de retour,Umschalten,
changeover distance,distance de transition,Übergangsdistanz,
changeover kit,équipement de transformation,Umstellsatz,
changeover signal,signal de commutation sur liaison de réserve,Umschaltezeichen,
changeover switch,commutateur,Wechselschalter,
changeover time,durée d'inversion,Umschaltzeit,
changing to producer firing,passage au gazogène,Übergang auf Generatorbetrieb,
channel,canal,Kanal,
channel,canal,Kanal,
channel,canal,Übertragungskanal,
channel address word,mot d'adresse du canal,Kanaladreßwort,
channel allocation strategy,méthode d'attribution des voies,Strategie der Kanalzuweisung,
channel amplifier,amplificateur de voie,Kanalverstärker,
channel arrangement,disposition des canaux,Beschaltung von Kanälen,
channel associated signalling,signalisation voie par voie,kanalgebundene Zeichengabe,
channel balancing,équilibrage des voies,Kanal-Abgleich,
channel block,verrouillage parental,Kindersicherung für einzelne Programme,
channel centre frequency,fréquence centrale d'un canal,Kanalmittenfrequenz,
channel command word,mot de commande du canal,Kanalbefehlswort,
channel current,courant de canal,Kanalstrom,
channel denial,interdiction de voie,Kanalabweisung,
channel doping,dopage de canal,Kanaldotierung,
channel equipment,équipement de voie,Kanalausrüstung,
channel extender,amplificateur de canal,Kanalerweiterung,
channel failure,dérangement de canal,Kanalstörung,
channel filter,filtre de voie,Trennfilter,
channel gate,porte de voie,Kanalschalter,
channel gate generator,générateur de portes de voie,Kanal-Torgenerator,
channel grouping,groupement des canaux,Kanalgruppierung,
channel identification,identification des voies,Kanalkennzeichen,
channel isolation,isolation des canaux,Kanalisolation,
channel light,feux de chenal,Wasserlandebahnfeuer,
channel multiplexing equipment,équipement de multiplexage des voies,Kanalmultiplexgerät,
channel noise power,puissance du bruit de voies,Kanalrauschleistung,
channel occupancy data,données sur le degré d'occupation des voies,Kanalbelegungsdaten,
channel orientation,orientation des voies,Kanalzuordnung,
channel phasing,mise en phase des voies,Kanalpolung,
channel pinch-off,pincement du canal,Kanalabschnürung,
channel plan,plan de disposition des voies,Kanalplan,
channel section batten unit,réglette en forme de U,U-förmige Leiste,
channel seizure signal,signal de prise du faisceau,Kanalbelegtzeichen,
channel selection filter,filtre sélecteur de voie,Kanalwählfilter,
channel sensitivity,sensibilité d'une voie,Kanalempfindlichkeit,
channel shortening,raccourcissement de canal,Kanalverkürzung,
channel signalling unit,unité de signalisation des canaux,Signalisierungseinheit,
channel spacing,écartement des voies,Kanaltrennung,
channel switching,commutation de voies de transmission,Kanaldurchschaltung,
channel time slot,intervalle de temps de voie,Zeitkanal für Nutzinformationen,
channel translation,modulation de voie,Kanalumsetzung,
channel width,largeur d'une voie,Kanal-Bandbreite,
channel width,largeur de canal,Kanalweite,
channel-gain queue,liste des gains par voie,Channel-Gain-Queue,
channeling,renardage,Kanalbildung,
channelization,découpage en canaux,Mehrkanalübertragung,
channelized frequency,fréquence affectée à des voies,kanalisierte Frequenz,
channelling,pénétration préférentielle,Kanalbildung,
channelling,répartition des voies,Kanaleinteilung,
channelling arrangement,disposition des voies,Kanaleinteilung,
character cycle,cycle de caractère,Zeichenzyklus,
character indicator tube,tube indicateur de caractères,Zeichenanzeigeröhre,
character interval,intervalle de caractère,Zeichenintervall,
character parity check,contrôle de parité du caractère,Zeichenparitätskontrolle,
character phase,phase de caractère,Zeichenphase,
character-coupling exchange,commutateur de multiplex par caractères,zeichenweise Vermittlung,
characteristic,caractéristique,Kennlinie einer Röhre,
characteristic,caractéristique,Kennung,
characteristic,fonction caractéristique,Charakteristik,
characteristic admittance,admittance caractéristique,charakteristische Admittanz,
characteristic baseband frequency,fréquence caractéristique d'une bande de base,Basisband-Kennfrequenz,
characteristic curve,caractéristique,Kennlinie,
characteristic curve,courbe caractéristique,Kennlinie,
characteristic distortion compensation,compensation de la distorsion caractéristique,Charakteristik der Verzerrungskompensation,
characteristic frequency,fréquence caractéristique,charakteristische Frequenz,
characteristic impedance,impédance caractéristique,Wellenwiderstand,
characteristic impedance,impédance caractéristique,Wellenwiderstand(bei Leitungen grosser Laenge),
characteristic mean flow,débit moyen caractéristique,Mittelwasser,
characteristic moment,moment caractéristique,charakteristischer Augenblick,
characteristic point,point caractéristique,charakteristischer Punkt,
characteristic quantity,grandeur caractéristique,Wirkungsgröße eines Meßrelais,
characteristic threshold of operation,seuil de fonctionnement caractéristique,Betriebskenngröße,
characteristic value,caractéristique,charakteristischer Wert,
characteristic value,valeur caractéristique,charakterischer Wert,
characteristic wave impedance,impédance d'onde caractéristique,Feldwellenwiderstand,
characteristics of network elements,caractéristiques des éléments du réseau,Netz-Kenngroessen,
charge,charge,Charge,
charge,charge,Ladung,
charge amplifier,amplificateur de charges,ladungsempfindlicher Verstärker,
charge carrier,porteur de charge,beweglicher Ladungsträger,
charge control,contrôle des charges,Ladungsteuerung,
charge distribution,répartition des charges,Ladeverteilung,
charge drive,circuit de commande des charges,Ladungsansteuerung,
charge drive,commande des charges,Ladungsbetrieb,
charge exchange,échange des charges,Ladungsaustausch,
charge in pulsed conditions,charge en régime pulsé,Laden im Impulsbetrieb,
charge life cycle,cycle de charge,Ladezyklus,
charge per chamber,charge par chambre,Kammerladung,
charge separation,séparation de charge,Ladungstrennung,
charge transfer,transfert de charges,Ladungsübertragung,
charge transit time,temps de transit d'un porteur de charge,Ladungsträgerlaufzeit,
charge-carrier density,densité des porteurs de charge,Ladungsträgerdichte,
charge-carrier density gradient,gradient de densité des porteurs de charge,Zuwachs der Ladungsträgerdichte,
charge-carrier diffusion,diffusion des porteurs de charge,Ladungsträgerdiffusion,
charge-carrier distribution,distribution des charges de base,Ladungsträgerverteilung in der Basis,
charge-carrier mobility modulation,modulation de la mobilité des porteurs de charge,Modulation der Ladungsträgerdichte,
charge-carrier storage,accumulation de porteurs de charge,Ladungsträger-Speicherung,
charge-carrier trap,piège des porteurs de charge,Ladungsträgertrap,
charge-compensation effects,effets de compensation des charges,Ladungsausgleicherscheinungen,
charge-control parameter,paramètre de contrôle des charges,Parameter der Ladungssteuerung,
charge-controlled transistor,élément à charge contrôlée,Bauelement mit Ladungssteuerung,
charge-coupled device,dispositif à couplage de charges,ladungsgekoppelter Baustein,
charge-storage diode,diode à emmagasinage de charge,Ladungsspeicherdiode,
charge-storage time,temps d'emmagasinage,Speicherverzögerungszeit,
charge-transfer molecular crystals,cristaux moléculaires à transfert de charge,molekulare Kristalle zur Ladungsübertragung,
charge/discharge cycle,cycle de charge/décharge,Ladungs-Entladungszyklus,
chargeable demand,puissance de facturation,Verrechnungsleistung,
charged,chargé,geladen,
charger,chargeur de pile,Ladegeraet,
charges for power reactors,charges pour réacteurs de puissance,Brennstoffladungen fuer Leistungsreaktoren,
charging,enfourner,Einsetzen,
charging arrangement in public places,poste public de charge,öffentliche Aufladestation,
charging basket,panier de chargement,Beschickungskorb,
charging by stamping,enfournement avec pilonnage,Stampfladung,
charging car weighbridge,bascule de chargement,Füllwagenwaage,
charging condenser,condensateur de charge,Ladekondensator,
charging current intensity,intensité de charge,Ladestromstärke,
charging current of a capacitor,courant de charge d'un condensateur,Ladestrom eines Kondensators,
charging device,appareil de chargement ( four ),Beschickungsvorrichtung,
charging facility free of charge to users,poste de recharge librement accessible,frei zugängliche Nachlade-Einrichtung,
charging of a capacitor,mise en charge d'un condensateur,Aufladen eines Kondensators,
charging rate,courant de charge,Ladestrom,
charging resistance,résistance de charge,Ladewiderstand,
charging scoop,cuillère,Ladeschurre,
charging switch,commutateur de charge,Ladeschalter,
charging time,temps total de chargement,Beschickungszeit,
charging tray,plateau de chargement,Beschickungsplatte,
charging tundish,tundish de chargement,Zwischenpfanne,
charging voltage,tension de charge,Ladespannung,
Charles gun,canon de Charles,Charles-Strahlerzeuger,
charring of insulation,carbonisation d'isolement,Isolationsverkohlung,
charring of winding,carbonisation d'enroulement,Wicklungsverkohlung,
chart-comparison unit,appareil de report sur carte,Kartenvergleichsgerät,
chassis less wearing parts,châssis sans organes d'usure,Fahrgestell ohne Verschleißteile,
Chebyshev approximation,approximation de Tchébychev,Tschebyscheffsche Näherung,
check bit,clé de controle,Prüfbit,
check bit,élément numérique binaire de contrôle,binäres Kontroll-Bit,
check code matrix,matrice de code de contrôle,Codekontrollmatrix,
check loop,boucle pour essais de continuité,Kontrollschleife,
check not ok,essai négatif,negativer Kontrollversuch,
check ok,essai positif,positiver Kontrollversuch,
check point,point de contrôle,Kontrollpunkt,
check signal unit,unité de signalisation de contrôle,Signalkontrolleinheit,
checking equipment,dispositif de contrôle,Überwachungseinrichtung,
checking of an apparatus,contrôle d'un appareil,Überwachung einer Einrichtung,
chemical accumulator,accumulateur chimique,chemischer Speicher,
chemical anchorage using a resin cartridge,scellement chimique utilisant une cartouche de résine,chemische Verankerung mittels Kunstharzpatrone,
chemical binding energy,énergie de liaison chimique,Bindungsenergie,
chemical corrosion,corrosion chimique,chemische Korrosion,
chemical duplex system,système chimique double,chemisches Zweikomponentensystem,
chemical effect,effet chimique,chemischer Effekt,
chemical energy,énergie chimique,chemische Energie,
chemical etching,incision chimique,chemisches Ätzen,
