en,fr,de,vi
double shear riveting,rivetage à deux coupes,zweischnittige Nietung,
double shut-off valve,robinet à double arrêt,Zweifach-Absperrventil,
double side acting,à double action latérale,Tandem,
double side loading fork truck,chariot élévateur à prise latérale double,Quergabelstapler mit zweiseitiger Lastaufnahme,
double skin door,porte battante à caisson,doppelwandige Tuer,
double sleeper(rail)joint,joint(de rail)avec traverses accolées,Schienenstoß auf Doppelschwelle,
double spraybar,anneau double d'injection,Doppelspritzrohr,
double stroke,coup double,Doppelhub,
double stroke,course aller et retour,Doppelhub,
double stroke,course aller-retour,Doppelhub,
double stroke,cycle de travail,Doppelhub,
double suction pump,pompe à double flux,zweistroemige Pumpe,
double suction riser,conduite ascendante double,doppelte Steigleitung,
double threaded nut,écrou à double pas,zweigängige Gewindemutter,
double throw lever,levier à rabattement dans les deux sens,zweiseitiger Umschlaghebel,
double turbulence chamber,chambre à double turbulence,Doppelwirbelkammer,
double twisting frame,moulineuse à double torsion,Doppeldrahtzwirnmaschine,
double volute pump,pompe à double volute,Doppelspiralgehaeuse/pumpe,
double warp,deux chaines,zweikettig,
double wound synchronous generator,alternateur synchrone à double enroulement,Zweiwicklungs-Synchrongenerator,
double wound transformer,transformateur à double enroulement,Transformator mit doppelter Wicklung,
double wrap gearless machine,machine sans réducteur à double enroulement,getriebelose Maschine mit doppelter Umschlingung,
double wrap sheave,poulie de touage,Gegenrolle,
double wrap traction,double enroulement,doppelte Umschlingung,
double-acting actuator,commande à double action,bi-direktionaler Stellantrieb,
double-acting compressor,compresseur à double effet,zweistufiger Kompressor,
double-acting duplex pump,pompe à deux pistons à double effet,doppelt wirkende Duplex-Pumpe,
double-acting engine,machine à double effet,doppelt wirkende Maschine,
double-acting hammer,marteau-pilon à double effet,Oberdruckhammer,
double-acting hydraulic lift,relevage hydraulique à double effet,doppelwirkender hydraulischer Kraftheber,
double-acting plunger pump,pompe à piston plongeur à double effet,doppeltwirkende Tauchkolbenpumpe,
double-action pump,pompe à double effet,doppelt wirkende Pumpe,
double-angle point,affûtage deux pentes,Doppelkegelmantelspitze,
double-centrifugal pump,pompe centrifuge à deux entrées séparées,Doppel-Kreiselpumpe,
double-check valve,double valve de retenue,Doppelrückschlagventil,
double-clutch drive,boîte de vitesse à clabot,Schubklaüngetriebe,
double-column planing machine,raboteuse à deux montants,Zweiständer-Hobelmaschine,
double-contact wire system,ligne de contact double,doppelter Fahrdraht,
double-dilution system,système de dilution double,Doppel-Verdünnungssystem,
double-drum winch,treuil à double tambour,Doppeltrommelwinde,
double-edged abrasive wheel,meule à double biseau,Schleifscheibe mit beidseitig abgeschraegter Schneidkante,
double-edged band-saw,lame de scie bicoupe,Blockbandsäge mit Vor- und-Rücklaufschnitt,
double-end spanner,clé plate double,Doppelmaulschlüssel,
double-ended open-jawed spanner,clé plate double,doppelter Gabelschlüssel,
double-ended spanner,clé double,Maulschlüssel,
double-fed asynchronous machine,machine asynchrone à double alimentation,doppelt-gespeiste Asynchronmaschine,
double-folding door,porte pliante à deux battants,zweiflügelige Falttür,
double-heading,double traction,Doppeltraktion,
double-intake valve,tiroir à double admission,Schieber mit doppelter Einströmung,
double-leaf,bilame,Bimetallelement,
double-membrane valve with an operating pressure of some l.4 kp/cm2,"valve à double membrane fonctionnant sous une pression de service de l,4 kp/cm2","mit einem Betriebsdruck von l,4 kp/cm2 arbeitendes Doppelmembranventil",
double-row ball bearing,roulement à deux rangées de billes,zweireihiges Kugellager,
double-seam bag with folded and sealed flap,sachet à patte rabattue et scellée,Stülpklappenbeutel,
double-shaft mixer,mélangeur à deux hélices,Doppelwellenmischer,
double-sliding door,porte coulissante double,Doppelschiebetür,
double-stroke deep-well pump,pompe à deux pistons plongeurs pour puits profonds,Doppelhub-Tiefbrunnen-Pumpe,
double-suction impeller,roue à double entrée,zweifach-saugendes Laufrad,
double-suction pump,pompe à deux ouïes,Pumpe mit zwei Ansaugoeffnungen,
double-threaded screw,vis à double pas,doppelgaengiges Gewinde,
double-thrust bearing,butée à double effet,zweiseitig wirkendes Achsiallager,
doubling twisting frame,doubleuse à retordre,Doublierzwirnmaschine,
doubling-winder sliver box,bobinoir,Spulmaschine,
dove tail joint,assemblage a queue d'aronde,Schwalbenschwanzverbindung,
dovetail,adenter,verzapfen,
dovetailed way,glissière à queue d'aronde,Schwalbenschwanzführung,
dowel,cheville,Stift,
dowel,goujon,Passstift,
dowel gun,pistolet à fixer les chevilles,Werkzeug zum Befestigen von Duebeln,
down call,appel pour descendre,Abwaerts-Ruf,
down collective,collective descente,Kollektiv-Abwaerts-Steuerung,
down direction,en descente,Abwaerts-Richtung,
down levelling valve,soupape d'isonivelage en descente,Abwaerts-Einfahrt-Ventil,
down light,éclairage en plinthe,Tiefstrahler,
down lock,verrou en position basse,Riegel in unterer Stellung,
down locking,"verrouillage en position ""train sorti""",Fahrwerkausfahrverriegelung,
down milling,fraisage en avalant,Mitlauffräsen,
down peak,pointe descente,Abwaerts-Spitzenverkehr,
down pump unit,pompe de descente,Abwaertsfahrt-Pumpeneinheit,
down push button,bouton pour descendre,Abwaerts-Drucktaster,
down push button,bouton-poussoir de descente,Abwaerts-Drucktaster,
down valve,coupe-circuit d'abaissement,Absenkungsventil,
down-draft combustion chamber,chambre de combustion avec flammes en U,Brennkammer mit U-Flamme,
downhill direction,sens du plan incliné,Hangrichtung,
downhill slope,déclivité vers le bas,Bergabgefälle,
downlock visual indicating,indication de verrouillage optique,Verriegelungsanzeige,
downstroke,course descendante,Abwärtshub,
downward movement of piston,descente du piston,Sinken des Kolbens,
downwash,déflexion vers le bas,Abwindwinkel,
downwind rotor,rotor sous le vent,leeseitiger Rotor,
dozer,dozer,Raupe,
draft,degagement (depouille),Hinterdrehen,
draft,dépouille,Steigung,
draft,depouille (degagement),Aushebung,
draft-tube bulkhead gate,vanne batardeau de l'aspirateur,Saugrohr-Schott,
drag box,élément de transmission,Kraftübertragungselement,
drag bracing,bielle de recul de pale,Schwenkstrebe,
drag coefficient of an airfoil wing,coefficient de traînée d'une aile,Widerstandszahl eines Tragfluegels,
drag cup,cloche de tachymètre,Drehzahlmesserglocke,
drag device,dispositif de freinage,Bremsanlage,
drag hinge pin,axe d'articulation de traînée,Schwenkgelenkachse,
drag line,câble de traînage,Zugseil,
drag resistance force,trainée,Widerstandskraft,
drag rope,guiderope,Schlepptau,
drag scraper,scraper,Seilschrapperanlage,
drag stop,butée de traînée,Schwenkanschlag,
drag-bar scraper,extracteur à racloirs,Kratzeraufgeber,
drag-chute cover,gaine de parachute de queue,Bremsschirmhülle,
drag-rigid,non articulé en traînée,schwenkgelenklos,
dragline excavator,excavateur à benne traînante,Schuerfkuebelbagger,
drain,écoulement,Ablauf,
drain,purge,Abschlammung,
drain cock,robinet de vidange,Grundhahn,
drain connection,raccordement de vidange,Entleerungsanschluss,
drain flange,sortie d'eau,Wasseraustritt,
drain for corrosive products,rigole pour produits corrosifs,Abflussrinne fuer aetzende Stoffe,
drain line,circuit de drainage,Ablassleitung,
drain line,conduite de récupération des fuites,Leckleitung,
drain line,tuyauterie de drainage,Abflußleitung,
drain needle screw,vis-pointeau de purge,Entlüftungsschraube,
drain nipple,embout de drain,Ablassstutzen,
drain oil,huile de retour,Ablaufoel,
drain oil,huile de vidange,Ablassöl,
drain oil pump,pompe de reprise d'huile,Ablaufoelpumpe,
drain openings,ouvertures des drains,Draenoeffnungen,
drain pipe,ponceau tubulaire,Röhrendurchlass,
drain pipe,tuyauterie de purge,Ablaßleitung Reinigungsablaßleitung,
drain port,orifice de fuite,Leckanschluss,
drain tap,robinet de vidange,Ablasshahn,
drain tap,robinet de vidange,Lasshahn,
drain tube,tube d'écoulement,Entlüftungsschlauch,
drain valve,vanne de vidange,Entleerungsschieber,
drain valve screw,vis de purge,Entlüftungsschraube,
drainage cock,vanne de vidange,Entleerungsventil,
drainage hole,trou d'écoulement,Abflussloch,
drainage line,conduite d'assainissement,Entwässerungsleitung,
drainage motor-pump,motopompe d'épuisement,Entwässerungsmotorpumpe,
drainage port,orifice de purge,Drainageöffnung,
drainage pump,pompe d'assèchement,Entwaesserungspumpe,
draining connection,raccord de vidange,Entleerungsstutzen,
draining installation,installation de drainage,Entwaesserungsanlage,
draining installation,station d'épuisement,Schoepfwerk,
draining pipe,conduite de vidange,Entleerungsleitung,
draining plug,bouchon de purge,Entwässerungsstopfen,
draining valve,robinet de purge,Entleerungshahn,
draining valve,soupape de vidange,Abschlammventil,
draught,esquisse,Formschraege,
draught control hydraulic lift,relevage à contrôle d'effort,hydraulischer Kraftheber mit automatischer Tiefeneinstellung,
draught mark,repère de tirant,Tiefgangsmarke,
draught spring,ressort de traction,Zugfeder,
draught tube,aspirateur,Saugrohr,
draw bar,tige de traction,Zugstange,
draw bead,jonc de freinage,Ziehwulst,
draw beam,arbre d'attelage,Zugstang,
draw gear spring plate,plaque d'appui du ressort de traction,Zugfederplatte,
draw hook,crochet de traction,Zughaken,
draw-bar guide,guide de crochet de traction,Zughakenführung,
draw-bar pull,effort au crochet,Kraft am Zughaken,
draw-bar spiral(coupling)sleeve,manchon(d'accouplement)à coquilles de la tige de traction,Schalenmuffe zur Verbindung der Zugstange,
draw-hook pin,tourillon du crochet de traction,Zughakenbolzen,
draw-in box,boîte de jonction,Einziehdose,
draw-spring connecting rod,bielle de ressort de traction,Zugfederlasche,
draw-type clamping,serrage par traction,Zugspannung,
drawback pulley,poupée de renvoi,Umlenkrad,
drawbar coupling,dispositif d'accouplement à broches,Bolzenkupplung,
drawbar eye,anneau d'attelage,Zugöse,
drawbar eye fitted with sleeve,anneau équipé de douille,Zugöse mit Buchse,
drawer,tiroir de meuble,Schublade,
drawer,tiroir de rangement,Schublade,
drawgear head,tête d'attelage,Kupplungskopf,
drawing board,planche à dessin,Zeichenbrett,
drawing chuck,mandrin d'étirage,zieheisen,
drawing die,matrice d'emboutissage,Ziehring,
drawing for approval,plan pour approbation,Genehmigungszeichnung,
drawing frame,banc d'étirage,Streckwerk,
drawing load,force d'emboutissage ou d'étirage,Ziehkraft,
drawing lubricant,lubrifiants d'emboutissage,Ziehöl,
drawing plate,filière à étirer,Zieheisen,
drawing press,presse à tamboutir,Ziehpresse,
drawing tool,outil d'emboutissage,Treibhammer,
drawing tool,outil d'étirage,streckziehform,
drawn rail,guide étiré,gezogene Fuehrungsschiene,
drawpit,chambre de tirage,Kabelzugschacht,
dredger master,maître de drague,Baggerfuehrer,
dredging cable,filin de dragage,Baggertrosse,
dredging pump,pompe de dragage,Bagger/pumpe,
dress,araser,bündig machen,
dressing and grinding plate,plateau de dressage et de rectification,Richt- und Schleifplatte,
dressing diamond,diamant de dressage,Abrichtdiamant,
dressing of grinding wheels,rhabillage d'une meule,Abrichten von Schleifscheiben,
dressing stick,bâton dresseur,Abrichtstab,
dressing table,marbre de dressage,richtplatte,
drier coil,tube sécheur,Nachverdampferschlange,
drift,jet d'extraction,austreiber,
drift adjustment,réglage de la dérive,Abwanderungsberichtigung,
drift handling carriage,chassoir,Treiber,
drift pin,cheville d'assemblage,Dorn,
drift plate,plaque d'extracteur,auszieherplatte,
drift tube,tube d'emmanchement,treibrohr,
drifter,marteau perforateur lourd,Setzmeissel,
drill,mèche,Bohrer,
drill,perforatrice,Bohrmaschine,
drill axis,axe du foret,Bohrerachse,
drill back from,contre-percer,ein Gegenstück aufbohren,
drill bush,canon de percage,Bohrbuchse,
drill point,pointe du foret,Bohrerspitze,
drill steel,fleuret tout d'une pièce,Stahlbohrer,
drill unit,tête de perçage,Bohreinheit,
drill-rod,fleurets de mines,Grubenbohrer,
drilled bolt,goujon à trou,durchbohrte Stiftschraube,
drilled centre,trou central,Lochung,
drilled fillister head screw,vis à tête cylindrique forée,aufgebohrte linsenkopfschraube,
drilled screw,vis percée,schraube mit sicherungsloch,
drilled well,puits foré,Bohrbrunnen,
drilling and countersinking machine,perceuse à centrer,Zentrier-Bohrmaschine,
drilling fixture,montage de perçage,bohrvorrichtung,
drilling from the solid,perçage,Vollbohren,
drilling head,tête de perçage,Bohrschlitten,
drilling head,tête de perçage,Vollbohrkopf,
drilling jig,gabarit de perçage,Bohrschablone,
drilling machine,alésoir,Reibahle,
drilling machine,perceuse,Bohrmaschine,
drilling machine,perforatrice,Bohrmaschine,
drilling power,puissance de perçage,Bohrleistung,
drilling rope,câble de forage,Bohrseil,
drilling template,gabarit de perçage,Bohrschablone,
drilling tool,outil de perçage,Bohrwerkzeug,
drilling with ribbed drill rods pierced for central water injection,foration avec fleurets rubannés percés pour injection d'eau centrale,Bohrung mit Schlangenbohrern mit Zentralspuelung,
drip,exsudat,Tropfsaftverlust,
drip hole,orifice de drainage,Sickersaftablauf,
drip mat,sous-bock,Bierdeckel,
drip pan to catch the condensate,bac de récupération de l'eau de condensation,Abtropfschale zum Auffangen des Kondenswassers,
drip proof motor,moteur protégé contre les chutes d'eau,tropfwassergeschuetzter Motor,
drip tray,bac récepteur,Tropfschale,
drip tray,cuvette de dégivrage,Tropfschale,
drip-proof lock,serrure protégée contre les gouttes d'eau,tropfwassergeschuetzter Tuerverschluss,
dripping,égoutture,Tropfen,
drive,entraînement,Antrieb,
drive bit,dé d'entrainement,mitnehmerzapfen,
drive block,barrette,Radlasche,
drive chain,groupe motopropulseur,Zugkette,
drive fit,ajustement a force,Treibsitz,
drive fit,montage à frottement dur,Treibsitz,
drive force,effort d'entraînement,Antriebskraft,
drive lever system,tringlage de commande,Antriebsgestaenge,
drive motor,moteur direct,Direktmotor,
drive nut,ecrou de commande,Führungsmutter,
drive of machines,entraînement de machines,Antrieb von Maschinen,
drive pin,axe d'entraînement,Mitnehmerstift,
drive pin,pion d'entraînement,mitnehmerstift,
drive point,point d'attaque,Angriffspunkt,
drive roll,molette d'entrainement,Vorschubrolle,
drive shaft,arbre-moteur,Antriebsachse,
drive shaft,axe d'entraînement,Mitnehmerwelle,
drive shaft coupling,accouplement,Antriebskupplung,
drive shoe,sabot de tube,Schneidschuh,
drive sleeve,manchon d'entraînement,Mitnehmermuffe,
drive train,système de traction,Antriebssystem,
drive unit,mécanisme de commande,Fahrwerk,
drive wheel,roue d'entraînement,Treibrad,
drive wheels,roues de poussée,Antriebsräder,
drive-in storage,casier à accumulation,Sammelregal,
driven assemblies,groupes générateurs de pression,Antriebsaggregate,
driven disk,disque mené,angetriebene Scheibe,
driven element,élément mené,mitgenommenes Teil,
driven gear,pignon mené,Abtriebzahnrad,
driven gear,roue menée,getriebenes Rad,
driven machine,machine entraînée par un engin moteur,Arbeitsmaschine,
driven plate,disque conduit,Lamelle für Kupplung,
driven pulley,poulie réceptrice,Abtriebsscheibe,
driver,conducteur,Fahrer,
driver,moteur d'entraînement,Antrieb,
driver frontal protection airbag,coussin gonflable conducteur,Fahrer-Airbag,
driving capacity,capacité de traction,Treibfaehigkeit,
driving chain,chaîne de commande,Antriebskette,
driving coil,bobine conductrice,Antriebsspule,
driving crank,manivelle motrice,Treibkurbel,
driving disk,disque menant,Antriebsscheibe,
driving disk,rondelle d'entrainement,mitnehmerscheibe,
driving drum,tambour moteur,Antriebstrommel,
driving element,élément menant,Mitnehmerteil,
driving engine,moteur de commande,Antriebsmotor,
driving gear,pignon menant,Antriebzahnrad,
driving gear,roue motrice,treibendes Zahnrad,
driving geared motor,motoréducteur de commande,Antriebsmotor mit Untersetzung,
driving head,tête motrice,Antriebskopf,
driving hole,trou d'entraΆnement,Mitnehmerbohrung,
driving input bevel gear,pignon conique d'attaque,Antriebskegelritzel,
driving jet,jet moteur,Treibstrahl,
driving key,clavette fixe,Mitnehmerstein,
driving mechanism,mécanisme de commande,Triebwerk,
driving motor,moteur de commande,Antriebsmotor,
driving performance,performance motrice,Treibleistung,
driving pin,bouton de manivelle motrice,Treibzapfen,
driving pin,cheville d'entraînement,Mitnehmerstift,
driving pin,pied d'entraînement,Mitnehmerstift,
driving pinion,pignon moteur,Ritzel,
driving pinion,roue dentée motrice,Triebzahnrad,
driving piston,piston moteur,Motorkolben,
driving plate,plateau à toc,Mitnehmerscheibe,
driving pulley,poulie de transmission,Antriebsscheibe,
driving pulley,poulie motrice,Antriebsscheibe,
driving ring,bague d'entraînement,Mitnehmerring,
driving ring for the auger,anneau de guidage de la vis haveuse,Führungsbahn,
driving rope,câble d'entraînement,Antriebseil,
driving side,flanc menant,Antriebsseite,
driving sleeve,manchon d'entraînement,Wellenlagerbüchse,
driving spindle,axe de commande,Antriebsachse,
driving wheel,galet moteur,angetriebenes Laufrad,
driving wheel on barrel,roue entraîneuse sur barillet,Mitnehmerrad auf Federhaus,
driving-axle pin,axe d'essieu moteur,Treibachswelle,
drogue withdrawal line,drisse d'extraction du parachute stabilisateur,Steuerschirmausziehleine,
drone,vrombissement,Dröhnen,
droop lever,levier de basculement de bord d'attaque,Hebel zum Absenken der Tragflügel Vorderkanten,
droop restrainer,butée élastique,Blattruheanschlag,
droop restrainer ring,anneau réciproque,Anschlagring,
droop restrainer ring,couronne de butée basse,Anschlagring,
droop restrainer shaft,doigt de butée d'affaissement,Ruheanschlagzapfen,
droop stop,butée statique,statischer Anschlag,
drooping characteristic,caractéristique plongeante,Abfall-Charakteristik,
drooping restrainer,butée d'affaissement,Blattruheanschlag,
drop condensation,condensation en gouttes,Tropfenkondensation,
drop cooling tower,tour de refroidissement à pluie d'eau,Tropfenfallkuehlturm,
drop forging die,matrice à martinet,schmiedegesenkform,
drop forging die,matrice de forgeage,Schmiedematrize,
drop oiler,graisseur compte-gouttes,Tropfoeler,
drop point,point d'égouttement,Tropfpunkt,
drop reaction,réaction de goutte,tüpfelreaktion,
drop stamp,mouton,Fallhammer,
drop stamping press,presse d'emboutissage,Tiefziehpresse,
drop tank,réservoir largable,Abwurftank,
drop window,glace descendante,versenkbares Fenster,
drop-hammer,marteau à chute libre,freifallhammer,
drop-hammer ram,mouton de marteau pilon,fallhammer,
drop-out pressure,pression de marche à vide,maximaler Hauptluftbehälterdruck,
dropping mechanism,organes de cheminement,Saatleitungen,
dropping work,point de goutte,Tropfpunkt,
droppings,fiente,Geflügelmist,
drum,enrouleur,Schlauchhaspel,
drum brake,frein à tambour,Trommelbremse,
drum cooler,refroidisseur à tambour,Walzenkuehler,
drum drive lift,ascenseur à tambour,Trommelaufzug,
drum elevator,cage d'écureuil,Siebrad,
drum filter,filtre à tambour,Trommelfilter,
drum filter,filtre à tambour,Trommelfilter,
drum freeze-drier,lyophilisateur à tambour,Walzengefriertrockner,
drum grease pump,pompe de graissage à tambour,Fassschmierpumpe,
drum milling machine,fraiseuse à tambour,Trommel-Fräsmaschine,
drum self-aligning bearing,roulement à rotule à tonneaux,Tonnenlager,
drum truck,diable métallique pour fûts,Fasskarre,
drum turret,barillet,Trommelrevolver,
drum type turbine,turbine à tambour,Trommelturbine,
drum visual supply indicator,synoptique de barillet,Trommeldarstellungsanzeiger,
drum-type pulley hoist,palan à tambour,Trommel-Flaschenzug,
dry adiabatic,adiabatique de l'air sec,Trockenadiabate,
dry ball-mill,tambour broyeur à sec,Trockentrommelmuehle,
dry bearing of advanced materials,coussinet sec en matériaux avancés,Trockenlager aus fortgeschrittenen Werkstoffen,
dry bulb thermometer,thermomètre à sec,trocknes Thermometer,
dry cargo,marchandises ordinaires,Trockenladung,
dry clutch,embrayage à sec,Trockenkupplung,
dry compression,marche en régime de surchauffe,trockenes Ansaugen,
dry end,sortie,Entnahmeende,
dry expansion evaporator,évaporateur à surchauffe,trockener Verdampfer,
dry filter,filtre à sec,Trockenfilter,
dry gas holder,réservoir à gaz sec,Trockengasbehälter,
dry greaves,cretons séchés,getrocknete Grieben,
dry ice bunker,compartiment à glace carbonique,Trockeneisbunker,
dry installation,installation à l'air libre,Trockenaufstellung,
dry piston compressor,compresseur à piston sec,Trockenlaufverdichter,
dry plate clutch,embrayage à disques secs,Trockenscheibenkupplung,
dry run,marche à sec,Trockenlauf,
dry saturated vapour,vapeur saturée sèche,gesaettigter Dampf,
dry splice,épissure sèche,Trockenspleißung,
dry suction box,caisse aspirante sèche,trockener Saugkasten,
dry thread torque,couple de serrage à sec,Trockenanzugsmoment,
dry thrust,poussée à sec,Trockenschub,
dry type filter element,élément filtrant sec,Trockenfilterelement,
dry type sleeve,chemise sèche,trockene Zylinderlaufbüchse,
dry unloading cell,cellule sèche de déchargement,trockene Entladezelle,
dry weight,masse à vide sans carburant,Trockengewicht,
dry-mounted,non immergé,trocken aufgestellt,
dry-pan,broyeur à meules par voie sèche,Trockenkollergang,
dryer,dessicateur,Trockenmittel,
dryer,siccatif,Trockenmittel,
drying,séchage,Trocknung,
drying air,air séchant,trocknende Luft,
drying capacity of 1 ton grain per hour with 4 per cent.moisture removal,un rendement horaire du séchoir d'une tonne de grains avec évacuation de 4% d'eau,stuendliche Trocknerleistung von 1 tonne Koerner bei 4 Prozent Wasserentzug,
drying cylinder,cylindre-sécheur,Trockenzylinder,
drying drum,tambour séchoir,Trockentrommel,
drying equipment,équipement de séchage,Maschinen und Geräte für die Trocknung,
drying oven,étuve,Trockenofen,
drying plant,installation de séchage,Trocknungsanlage,
drying plant,sécherie,Trockenanlage,
drying section,sécherie,Trockenpartie,
dryness ratio,taux de siccité,Trockensubstanzgehalt,
dual carburation,carburation double,Doppelvergasung,
dual clutch disc,double plateau,Doppelplatte,
dual compressor,compresseur double,Zwillingsverdichter,
dual control,double commande,Doppelsteuerung,
dual control,double effet,doppelte Wirkung,
dual duct air conditioning system,système de conditionnement d'air à double conduit,Zweikanalsystem,
dual effect compressor,compresseur à double aspiration,Verdichter mit zweifacher Ansaugung,
dual emergency brake distribution valve,bloc de distribution de secours de système de freinage,Notbremsverteiler,
dual emergency brake distribution valve,distributeur progressif double de freinage,Bremsdoppelverteilerventil,
dual envelope,double enveloppe,Doppelhülle,
dual fluid intensifier,multiplicateur de pression bi-fluide,Druckübersetzer für verschiedene Druckmittel,
dual generator,génératrice double,Doppelstromgenerator,
dual ignition,double allumage,Doppelzündung,
dual lever,levier double,Doppelhebel,
dual manifold,bloc-raccord double,Doppelverteiler,
dual pressure controller,pressostat combiné haute pression-basse pression,Doppeldruckregler,
dual pump,pompe jumelée,Zwillingspumpe,
dual purpose heat pump,pompe à chaleur à double usage,Wärmepumpe mit Doppelnutzung,
dual purpose heat pump,pompe de chaleur à double usage,Waermepumpe mit Doppelnutzung,
dual ratio axle,pont arrière à double réduction,doppelt untersetzte Antriebsachse,
dual rod,bielle double,Doppelsteuerstange,
dual shuttle valve,clapet-navette double,Doppelwechselventil,
dual steering,direction double,doppelte Lenkung,
Dual swivel fitting,Raccord tournant double,Doppelschwenkanschluss,
dual tensile rope,cable à double résistance,Seil mit Draehten von zwei Nenn-Zugfestigkeitsklassen,
dual-arm bell crank,guignol double,Doppelumlenkhebel,
dual-frequency traction unit,engin moteur bifréquence,Zweifrequenztriebfahrzeug,
dual-fuel boiler,chaudière mixte,Wechselbrandkessel,
dual-fuel engine,moteur à deux combustibles,Zweistoffmotor,
dual-fuel vehicle,véhicule à deux carburants,Zweistofffahrzeug,
dual-purpose nozzle,diffuseur combiné,Mehrzweck-Strahlrohr,
duck freeboard,revanche du canard,Freibord der Salter-Ente,
duckbill weir cross regulator,régulateur à déversoir en bec de canard,Entenschnabelwehr-Querregler,
duckfoot bend,coude à pied,Fusskrümmer,
duckfoot tooth,dent à patte d'oie,Schottzinken,
duct,cheminée,Schacht,
duct cover,dalle de fermeture pour caniveau,Kabelkanalabdeckstein,
duct propulsion,propulsion canalisée,Kanalströmungsstrahlantrieb,
duct spacer,entretoise de ventilation,Stutzsteg,
duct-mounted pump,accélérateur,Rohrpumpe,
duct-ventilated,machine à conduit de ventilation,Maschine für Luftkanal-Anschluß,
ducted cooling,refroidissement par radiateur caréné,ummanteltes Kühlsystem,
ducted fan,soufflante carenée,Mantelgebläse,
ducted fan turbine engine,turbomachine à soufflante carénée,Mantelstromturbotriebwerk,
ducted oil cooler,radiateur d'huile caréné,ummantelter Ölkühler,
ducted radiator,radiateur caréné,ummanteltes Kühlsystem,
ducted tail rotor,rotor arrière caréné,eingelassener Heckrotor,
ducted-fan turbine engine,turboréacteur à soufflante canalisée,Mantelstromtriebwerk,
dummy bearing race,fausse bague de roulement,Blindlagerring,
dummy coil,section morte,blinde Spule,
dummy part,pièce factice,Blindstück,
dummy piston,dummy,Druckausgleichkolben,
dummy piston,piston d'équilibrage,Ausgleichskolben,
dummy(hose)coupling,faux-accouplement,Leerkupplung,
dump door,porte de décharge,Entlastungsklappe,
dump trap liquid return,retour de liquide à la haute pression,Fluessigkeitsrueckfuehrung zur Hochdruckseite,
dump valve,clapet à décharge,Entlastungsventil,
dump valve,soupape de vide-vite,Schnellablaßventil,
dump valve button,poussoir de vide-vite,Schnellablaßdruckknopf,
dumping,déchargement en vrac,Ausschuetten,
duple atomizer,injecteur à double orifice,Zerstäuber mit Zweifachdüse,
duplex,machine à brocher duplex,Duplexraeummaschine,
duplex cylinder,vérin duplex,Duplexzylinder,
duplex filter,filtre double,Doppelfilter,
duplex lap winding,enroulement imbriqué parallèle double,zweifache Schleifenwicklung,
duplex milling machine,fraiseuse duplex,Zweispindel-Fräsmaschine,
duplex pump,pompe duplex à action directe,Duplex/pumpe,
duplex safety-gear,parachute duplex,doppelte Fangvorrichtung,
duplex wave winding,enroulement ondulé série parallèle d'ordre deux,zweifache Wellenwicklung,
duplicate,usiner par reproduction,nachformen,
duplicate tests,essais de série,Nachbauprüfungen,
duplicated control,commande répétée,Doppelsteuerung,
duplicator,duplicateur,Vervielfaeltigungsgeraet,
dust cap,bouchon anti-poussière,Staubstopfen,
dust extraction by suction,captage pneumatique des poussières,Staubabsaugung,
dust extractor,filtre à poussière,Staubfänger,
dust proof,étanche à la poussière,staubdicht,
dust protection hood,coiffe,Deckel,
dust seal,joint étanche aux poussières,Staubdichtung,
dust separation,séparation des poussières,Staubabscheidung,
dust spreader,rampe de saupoudrage,Bestäubungsrampe,
dust-tight,étanche aux poussières,staubdicht,
dusting machine,machine à talquer,Pudermaschine,
dustproof,machine étanche aux poussières,staubdichte Maschine,
duty,service,Betrieb,
duty point,point de fonctionnement,Betriebspunkt,
duty-cycle rating,service nominal cyclique,Nennspiel,
duty-type,service type,Betriebsart,
dwell,temporisation,Verweilzeit,
dwell time,temps de maintien des portes ouvertes,Tueroffenhaltezeit,
dwell time,temps de séjour,Verweilzeit,
dwell-angle,angle de came,schliesswinkel,
dye pump,pompe pour bain de teinture,Farbflotten/pumpe,
dyeing appliance for carpets,appareil pour teindre les tapis,Färbepparat für Teppiche,
dyeing appliance for fabrics,appareil pour teindre les tissus,Färbeapparat für Gewebe,
dyeing appliance for flock material,appareil pour teindre les fibres en bourre,Färbeapparat für Flockfasern,
dyeing appliance for hanks,appareil pour teindre les filés en écheveaux,Färbeapparat für Stränge,
dyeing appliance for knittings,appareil pour teindre les tricots,Färbeapparate für Trikot,
dyeing appliance for ribbons,appareil pour teindre les rubans,Färbeapparat für Bänder,
dyeing appliance for stockings,appareil pour teindre les bas,Färbeapparat für Strümpfe,
"dyeing appliance for tops and yarns on bobbins,cakes and beams","appareil pour teindre mèches et filés en bobines,gâteaux et ensouples","Färbeapparat für Kammzug und Spulen,Kuchen und Bäumer",
dynaflow transmission,transmission Dynaflow,Dynaflow-Getriebe,
dynamic air vent system,mise à l'air libre par prise d'air dynamique,Staudruckbelüftung,
dynamic anti-resonant vibration isolator,amortisseur de siège de pilote d'hélicoptère,Pilotensitzdämpfer,
dynamic balance,équilibre dynamique,dynamisches Auswuchten,
dynamic balancing,équilibrage dynamique,dynamisches Auswuchten,
dynamic brake,frein rhéostatique,Widerstandsbremse,
dynamic head,charge dynamique,dynamische Druckhoehe,
dynamic lateral force,effort dynamique transversal,dynamische Querkraft,
